# Импортировано 2026-07-30. Результаты ДО запуска публичного архива (2026-07-30); в реальном времени публично не проверялись.
n,date_utc,match_id,minute,league,teams,market,selection,odds,stake,result,profit
1,2026-04-10 12:02 UTC,8765407551,драфт (до игры),,Nigma Galaxy vs Team Liquid,Победитель,Team Liquid,1.78,1000,проигрыш,-1000
2,2026-04-10 12:08 UTC,8765407551,10-я минута,,Nigma Galaxy vs Team Liquid,Победитель,Nigma Galaxy,1.85,1000,выигрыш,850
3,2026-04-10 15:15 UTC,8765688078,драфт (до игры),,L1GA TEAM vs GamerLegion,Победитель,L1GA TEAM,2.25,1000,проигрыш,-1000
4,2026-04-10 17:14 UTC,8765867665,драфт (до игры),,PARIVISION vs MOUZ,Длительность матча,Больше 36 мин,1.68,1000,выигрыш,680
5,2026-04-10 18:43 UTC,8765976782,10-я минута,,GamerLegion vs Nigma Galaxy,Победитель,Nigma Galaxy,1.48,1000,проигрыш,-1000
6,2026-04-10 19:52 UTC,8766089530,драфт (до игры),,Nigma Galaxy vs GamerLegion,Победитель,GamerLegion,2.15,1000,выигрыш,1150
7,2026-04-10 19:52 UTC,8766089530,драфт (до игры),,Nigma Galaxy vs GamerLegion,Победитель карты / Продолжительность карты,GamerLegion + Больше 44.0,4,1000,проигрыш,-1000
8,2026-04-10 21:14 UTC,8766168681,драфт (до игры),,Nigma Galaxy vs GamerLegion,Победитель,GamerLegion,1.98,1000,выигрыш,980
9,2026-04-10 21:14 UTC,8766168681,драфт (до игры),,Nigma Galaxy vs GamerLegion,Победитель карты / Тотал убийств,GamerLegion + Меньше 47.5,4,1000,проигрыш,-1000
10,2026-04-10 21:25 UTC,8766168681,10-я минута,,Nigma Galaxy vs GamerLegion,Победитель,GamerLegion,1.85,1000,выигрыш,850
11,2026-04-11 11:20 UTC,8766874056,драфт (до игры),,Nigma Galaxy vs MOUZ,Победитель,MOUZ,2.05,1000,выигрыш,1050
12,2026-04-11 11:31 UTC,8766874056,10-я минута,,Nigma Galaxy vs MOUZ,Тотал убийств,Больше 42,2,1000,выигрыш,1000
13,2026-04-11 13:18 UTC,8767039368,драфт (до игры),,PARIVISION vs Nigma Galaxy,Длительность матча,Больше 36 мин,1.62,1000,проигрыш,-1000
14,2026-04-11 14:26 UTC,8767163289,драфт (до игры),,Nemiga Gaming vs Yellow Submarine,Победитель,Yellow Submarine,2.35,1000,выигрыш,1350
15,2026-04-11 14:43 UTC,8767163289,15-я минута,,Nemiga Gaming vs Yellow Submarine,Победитель,Yellow Submarine,2.1,1000,выигрыш,1100
16,2026-04-11 15:14 UTC,8767241386,драфт (до игры),,Nemiga Gaming vs Yellow Submarine,Победитель,Yellow Submarine,2.3,1000,проигрыш,-1000
17,2026-04-12 04:16 UTC,8768060465,драфт (до игры),,Yangon Galacticos vs Ivory,Победитель,Yangon Galacticos,2.05,1000,выигрыш,1050
18,2026-04-12 04:16 UTC,8768060465,драфт (до игры),,Yangon Galacticos vs Ivory,Победитель карты / Продолжительность карты,Yangon Galacticos + Больше 41.0,4.4,1000,проигрыш,-1000
19,2026-04-12 05:35 UTC,8768125436,драфт (до игры),,Ivory vs Yangon Galactico,Победитель,Yangon Galacticos,2.25,1000,проигрыш,-1000
20,2026-04-12 05:35 UTC,8768125436,драфт (до игры),,Ivory vs Yangon Galactico,Победитель карты / Продолжительность карты,Yangon Galacticos + Больше 41.0,4.4,1000,проигрыш,-1000
21,2026-04-12 09:13 UTC,8768337245,драфт (до игры),,L1GA TEAM vs Rune Eater,Длительность матча,Больше 36 мин,1.62,1000,выигрыш,620
22,2026-04-12 09:26 UTC,8768337245,10-я минута,,L1GA TEAM vs Rune Eater,Тотал убийств,Больше 42,1.85,1000,выигрыш,850
23,2026-04-12 11:56 UTC,8768509968,10-я минута,,L1GA TEAM vs Rune Eater,Победитель,L1GA TEAM,1.42,3000,выигрыш,1260
24,2026-04-12 12:13 UTC,8768544040,драфт (до игры),,OG vs Ivory,Длительность матча,Больше 37 мин,2.4,3000,выигрыш,4200
25,2026-04-12 12:17 UTC,8768564420,драфт (до игры),,Team Nemesis vs Carstensz Esport,Длительность матча,Больше 38 мин,2.1,3000,выигрыш,3300
26,2026-04-12 12:17 UTC,8768564420,драфт (до игры),,Team Nemesis vs Carstensz Esport,Комбо-ставка,Team Nemesis + Больше 51.5,3.1,600,выигрыш,1260
27,2026-04-12 12:20 UTC,8768544040,5-я минута,,OG vs Ivory,Победитель,OG,1.88,3000,проигрыш,-3000
28,2026-04-12 12:26 UTC,8768544040,10-я минута,,OG vs Ivory,Тотал убийств,Больше 40,2,3000,выигрыш,3000
29,2026-04-12 12:33 UTC,8768564420,10-я минута,,Team Nemesis vs Carstensz Esport,Тотал убийств,Больше 42,2.1,3000,выигрыш,3300
30,2026-04-12 13:45 UTC,8768693713,10-я минута,,Team Nemesis vs Carstensz Esport,Тотал убийств,Больше 37,2.1,3000,выигрыш,3300
31,2026-04-12 14:29 UTC,8768769661,10-я минута,,Team Lynx vs MOUZ,Тотал убийств,Больше 38,1.92,3000,выигрыш,2760
32,2026-04-12 14:31 UTC,8768767328,10-я минута,,Zero Tenacity vs Virtus.pro,Тотал убийств,Больше 40,2.15,3000,выигрыш,3450
33,2026-04-12 15:22 UTC,8768888971,драфт (до игры),,Team Lynx vs MOUZ,Комбо-ставка,MOUZ + Меньше 42.0,2.3,600,выигрыш,780
34,2026-04-12 15:29 UTC,8768888971,5-я минута,,Team Lynx vs MOUZ,Победитель,MOUZ,1.82,3000,выигрыш,2460
35,2026-04-12 15:35 UTC,8768888971,10-я минута,,Team Lynx vs MOUZ,Тотал убийств,Больше 42,2,3000,выигрыш,3000
36,2026-04-12 15:35 UTC,8768894035,5-я минута,,Zero Tenacity vs Virtus.pro,Победитель,Zero Tenacity,2.4,3000,проигрыш,-3000
37,2026-04-12 15:40 UTC,8768894035,10-я минута,,Zero Tenacity vs Virtus.pro,Тотал убийств,Больше 39,1.95,3000,выигрыш,2850
38,2026-04-12 16:36 UTC,8768995011,драфт (до игры),,Team Lynx vs MOUZ,Комбо-ставка,MOUZ + Меньше 42.0,2.5,600,проигрыш,-600
39,2026-04-12 16:43 UTC,8768995011,5-я минута,,Team Lynx vs MOUZ,Победитель,MOUZ,1.72,3000,выигрыш,2160
40,2026-04-12 16:48 UTC,8768995011,10-я минута,,Team Lynx vs MOUZ,Тотал убийств,Больше 41,1.78,3000,выигрыш,2340
41,2026-04-12 17:26 UTC,8769027413,10-я минута,,Nemiga Gaming vs 1w Team,Тотал убийств,Больше 42,1.88,3000,проигрыш,-3000
42,2026-04-12 18:29 UTC,8769132568,10-я минута,,Team Liquid vs Natus Vincere,Победитель,Team Liquid,2,3000,проигрыш,-3000
43,2026-04-12 18:29 UTC,8769132568,10-я минута,,Team Liquid vs Natus Vincere,Тотал убийств,Больше 40,1.65,3000,выигрыш,1950
44,2026-04-12 19:39 UTC,8769210783,10-я минута,,Nemiga Gaming vs 1w Team,Тотал убийств,Больше 43,2,3000,выигрыш,3000
45,2026-04-12 19:49 UTC,8769245008,5-я минута,,Natus Vincere vs Team Liquid,Победитель,Team Liquid,1.65,3000,выигрыш,1950
46,2026-04-12 19:54 UTC,8769245008,10-я минута,,Natus Vincere vs Team Liquid,Победитель,Team Liquid,1.55,3000,выигрыш,1650
47,2026-04-13 08:18 UTC,8769721570,драфт (до игры),,REKONIX vs OG,Комбо-ставка,OG + Меньше 42.0,2.8,600,проигрыш,-600
48,2026-04-13 09:14 UTC,8769763171,драфт (до игры),,BetBoom Team vs Rune Eater,Длительность матча,Больше 39 мин,2.1,3000,выигрыш,3300
49,2026-04-13 09:20 UTC,8769763171,5-я минута,,BetBoom Team vs Rune Eater,Победитель,BetBoom Team,1.88,3000,выигрыш,2640
50,2026-04-13 09:20 UTC,8769763171,5-я минута,,BetBoom Team vs Rune Eater,Тотал убийств,Больше 42.5,1.75,3000,выигрыш,2250
51,2026-04-13 09:25 UTC,8769763171,10-я минута,,BetBoom Team vs Rune Eater,Тотал убийств,Больше 39.5,1.7,3000,выигрыш,2100
52,2026-04-13 09:34 UTC,8769779484,5-я минута,,OG vs REKONIX,Победитель,OG,1.9,3000,проигрыш,-3000
53,2026-04-13 09:39 UTC,8769779484,10-я минута,,OG vs REKONIX,Победитель,OG,1.85,3000,проигрыш,-3000
54,2026-04-13 10:30 UTC,8769828782,драфт (до игры),,Rune Eaters vs BetBoom Team,Комбо-ставка,BetBoom Team + Меньше 42.0,1.95,600,выигрыш,570
55,2026-04-13 10:41 UTC,8769828782,5-я минута,,Rune Eaters vs BetBoom Team,Победитель,BetBoom Team,1.9,3000,выигрыш,2700
56,2026-04-13 12:15 UTC,8769922066,драфт (до игры),,Team Nemesis vs Ivory,Комбо-ставка,Team Nemesis + Меньше 52.5,2.9,600,выигрыш,1140
57,2026-04-13 12:23 UTC,8769922066,5-я минута,,Team Nemesis vs Ivory,Победитель,Team Nemesis,1.58,3000,выигрыш,1740
58,2026-04-13 13:22 UTC,8769999753,5-я минута,,1w Team vs BetBoom Team,Победитель,BetBoom Team,3.2,3000,выигрыш,6600
59,2026-04-13 13:27 UTC,8769999753,10-я минута,,1w Team vs BetBoom Team,Победитель,BetBoom Team,3.2,3000,выигрыш,6600
60,2026-04-13 14:38 UTC,8770130252,5-я минута,,BetBoom Team vs 1w Team,Победитель,BetBoom Team,3.3,3000,выигрыш,6900
61,2026-04-13 14:39 UTC,8770119366,10-я минута,,Yellow Submarine vs Team Spirit Academy,Тотал убийств,Больше 60.5,1.92,3000,проигрыш,-3000
62,2026-04-13 14:43 UTC,8770130252,10-я минута,,BetBoom Team vs 1w Team,Победитель,BetBoom Team,3.6,3000,выигрыш,7800
63,2026-04-13 18:32 UTC,8770456297,драфт (до игры),,MOUZ vs Virtus.pro,Длительность матча,Больше 42 мин,2.35,3000,выигрыш,4050
64,2026-04-13 18:32 UTC,8770456297,драфт (до игры),,MOUZ vs Virtus.pro,Комбо-ставка,MOUZ + Меньше 52.5,3.8,600,проигрыш,-600
65,2026-04-13 20:57 UTC,8770616434,драфт (до игры),,Virtus.pro vs MOUZ,Комбо-ставка,MOUZ + Меньше 49.5,3.1,600,проигрыш,-600
66,2026-04-14 04:23 UTC,8770853808,5-я минута,,Team Nemesis vs REKONIX,Победитель,Team Nemesis,1.75,3000,проигрыш,-3000
67,2026-04-14 08:25 UTC,8770996605,драфт (до игры),,REKONIX vs Ivory,Комбо-ставка,REKONIX + Меньше 49.5,2.4,600,выигрыш,840
68,2026-04-14 10:15 UTC,8771090406,драфт (до игры),,Team Lynx vs Team Liquid,Комбо-ставка,Team Liquid + Меньше 49.5,7,600,выигрыш,3600
69,2026-04-14 10:54 UTC,8771122196,5-я минута,,Ivory vs REKONIX,Победитель,REKONIX,1.7,3000,выигрыш,2100
70,2026-04-14 11:06 UTC,8771139799,драфт (до игры),,Nemiga Gaming vs BetBoom Team,Комбо-ставка,BetBoom Team + Меньше 42.0,2.05,600,выигрыш,630
71,2026-04-14 11:31 UTC,8771159660,драфт (до игры),,Team Liquid vs Team Lynx,Комбо-ставка,Team Liquid + Меньше 42.0,6.3,600,выигрыш,3180
72,2026-04-14 12:03 UTC,8771187999,драфт (до игры),,Nemiga Gaming vs BetBoom Team,Длительность матча,Больше 40 мин,2.35,3000,проигрыш,-3000
